NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
GREEN SENTOSA ASRI,ACCEPTED,361,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA ANDALUSIA,ACCEPTED,92,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA ANGGRAENI,ACCEPTED,713,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA CAKRAWALA,ACCEPTED,81,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA CILEBUT ASRI 2,ACCEPTED,60,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA CIMANGGU INDAH,ACCEPTED,126,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA ESTETIKA,ACCEPTED,104,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA JATIASRI,ACCEPTED,75,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA KARADENAN INDAH,ACCEPTED,126,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA KATULAMPA,ACCEPTED,781,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
GRIYA PERMATA RADEN,ACCEPTED,60,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GUNUNG PUTRI PERMAI,ACCEPTED,992,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
HARAPAN INDAH - ARANA,ACCEPTED,297,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
HARAPAN INDAH - ASERA ONE JAKARTA SELATAN,ACCEPTED,234,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
HARAPAN INDAH - OSERA JAKARTA SELATAN,ACCEPTED,214,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
INDAH KIRANA RESIDENCE,ACCEPTED,83,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
JABABEKA - D'JAVA RESIDENCE,ACCEPTED,332,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
JAMBU KARYA RESIDENCE,ACCEPTED,89,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
KAVLING PULO INDAH PERMAI & PULO INDAH ASRI,ACCEPTED,417,OVER 200,KODYA TANGERANG,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
KIARA RESIDENCE,ACCEPTED,200,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KINAN CITY RESIDENCE,ACCEPTED,85,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KINTAMANI RESIDENCE,ACCEPTED,68,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
KIRANA CIBITUNG - CLUSTER GOLDEN CIBITUNG,ACCEPTED,113,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KOMPLEK BAKTI JAYA LUK,ACCEPTED,225,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
KOMPLEK BPN TAJUR HALANG,ACCEPTED,324,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KOMPLEK KEMHAN/DEPHAN,ACCEPTED,500,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KOMPLEK KPAD EXT,ACCEPTED,464,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
KOMPLEK LPTI / P & K 2,ACCEPTED,254,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KOMPLEK PASPAMRES,ACCEPTED,256,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
KOMPLEK PEMDA TIGARAKSA BLOK EA,ACCEPTED,145,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
KOMPLEK PEPABRI,ACCEPTED,232,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
MAGNOLIA GARDEN,ACCEPTED,493,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,B,INDIHOME
MAGNOLIA RESIDENCE BLOK IB & A EXT,ACCEPTED,98,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
MAHAMERU LAND,ACCEPTED,66,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
MAHKOTA CIMUNING,ACCEPTED,360,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
MAMPANG INDAH TAHAP 1,ACCEPTED,211,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
METLAND CIBITUNG - ARIZONA,ACCEPTED,122,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
METLAND CIBITUNG - RUKO MELAWAI 1,ACCEPTED,33,UNDER 200,KAB. BEKASI,KABUPATEN,RUKO,UG,JABAR,C,INDIHOME
METLAND CIBITUNG - RUKO MELAWAI 2,ACCEPTED,36,UNDER 200,KAB. BEKASI,KABUPATEN,RUKO,UG,JABAR,C,INDIHOME
MODERNLAND - PREMIER PARK 2,ACCEPTED,320,OVER 200,KODYA TANGERANG,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
MULIA RESIDENCE ONE,ACCEPTED,288,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
MULIA RESIDENCE TAHAP 1,ACCEPTED,60,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
MULIA RESIDENCE TAHAP 2,ACCEPTED,146,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
MULIA RESIDENCE TAHAP 3,ACCEPTED,83,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
MUTIARA BOGOR RAYA,ACCEPTED,1114,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
MUTIARA HIJAU RESIDENCE,ACCEPTED,100,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
MUTIARA RESIDENCE,ACCEPTED,78,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
NUANSA ALAM RESIDENCE,ACCEPTED,63,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
NUANSA ASRI LALADON,ACCEPTED,270,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PABUARAN INDAH,ACCEPTED,916,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PADMA SERPONG,ACCEPTED,100,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PAMULANG VILLAGE,ACCEPTED,414,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
PANCORAN MAS PERMAI,ACCEPTED,237,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
PARK PLACE & CLUSTER NAVARRA,ACCEPTED,641,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
