NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
BUMI BEKASI BARU 1 / PERUMAHAN RAWA LUMBU (2) RW 04 EXT,ACTIVE,219,OVER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI BEKASI BARU 2 & 3 (7),ACTIVE,193,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
BUMI INDAH - CLUSTER PESONA PARAHYANGAN,ACTIVE,401,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUMI INDAH - CLUSTER SAKURA,ACTIVE,327,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,MIXED,DKI,C,INDIHOME
BUMI INDAH - CLUSTER SAKURA EXT,ACTIVE,61,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
BUMI INDAH - CLUSTER UDAYANA,ACTIVE,308,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUMI INDRAPRASTA 1 (1),ACTIVE,72,UNDER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI INDRAPRASTA 1 (1) EXT,ACTIVE,28,UNDER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI INDRAPRASTA 1 (2),ACTIVE,102,UNDER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI INDRAPRASTA 2 (1),ACTIVE,73,UNDER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI INDRAPRASTA 2 (1) VIP EXT,ACTIVE,1,UNDER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
BUMI KARAWACI - PERUMNAS 1 (13) JL. CEMARA,ACTIVE,81,UNDER 200,KODYA TANGERANG,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
BUMI KARAWACI - PERUMNAS 1 (3) EXT ,ACTIVE,92,UNDER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
BUMI KARAWACI - PERUMNAS 2 (3) EXT ,ACTIVE,34,UNDER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
BUMI KARAWACI - PERUMNAS 2 (5) EXT ,ACTIVE,22,UNDER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
BUMI KARAWANG PERMAI,ACTIVE,399,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI PADJADJARAN,ACTIVE,46,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
BUMI PERMATA INDAH,ACTIVE,203,OVER 200,KODYA TANGERANG,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
BUMI SENTOSA (1),ACTIVE,371,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI SENTOSA (2),ACTIVE,362,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (10),ACTIVE,180,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (2),ACTIVE,80,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (2) EXT,ACTIVE,56,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (3),ACTIVE,130,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (3) EXT,ACTIVE,58,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (4),ACTIVE,353,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (6),ACTIVE,362,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (6) EXT,ACTIVE,25,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUMI TELUK JAMBE (9),ACTIVE,139,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CABANA RESIDENCE EXT,ACTIVE,15,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
CAHAYA NANGGERANG REGENCY,ACTIVE,79,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CAKUNG TIMUR AREA - KAVLING PAGAR JATI,ACTIVE,117,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CAKUNG TIMUR AREA (6) JL. KAYU TINGGI,ACTIVE,93,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CAKUNG TIMUR AREA (6) JL. KAYU TINGGI EXT,ACTIVE,185,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CAWANG AREA (2) JL. MASJID BENDUNGAN EXT,ACTIVE,92,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CEGER AREA (3) JL. SMP 160,ACTIVE,157,UNDER 200,JAKARTA TIMUR,KOTAMADYA,MIXED,MIXED,DKI,C,INDIHOME
CEMPAKA BARU AREA (3),ACTIVE,213,OVER 200,JAKARTA PUSAT,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CEMPAKA BARU AREA EXT  VIP RW 10,ACTIVE,49,UNDER 200,JAKARTA PUSAT,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CEMPAKA HIJAU,ACTIVE,138,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
"CENGKARENG TIMUR AREA - JL. FAJAR BARU, DSK",ACTIVE,385,OVER 200,JAKARTA BARAT,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIFFEST HILL (1),ACTIVE,334,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIFFEST HILL (2),ACTIVE,258,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIGANJUR AREA - JL. SADAR RAYA EXT,ACTIVE,30,UNDER 200,JAKARTA SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIGANJUR AREA - JL. SADAR RAYA EXT,ACTIVE,106,UNDER 200,JAKARTA SELATAN,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
CIGANJUR AREA (2) JL. H. MONTONG EXT,ACTIVE,34,UNDER 200,JAKARTA SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIJANTUNG AREA (7) JL. KAMBOJA,ACTIVE,141,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIKARANG BARU (1),ACTIVE,209,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (10),ACTIVE,251,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (10) EXT,ACTIVE,108,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (10) RUKO SIMPRUG GARDEN,ACTIVE,262,OVER 200,KAB. BEKASI,KABUPATEN,RUKO,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (11),ACTIVE,439,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (12),ACTIVE,275,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (12) EXT,ACTIVE,109,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (13),ACTIVE,187,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (13) EXT,ACTIVE,57,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (13) EXT,ACTIVE,163,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (14),ACTIVE,183,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (2),ACTIVE,415,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (3) GARDENIA RESIDENCE,ACTIVE,79,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (5) PERUM JABABEKA,ACTIVE,303,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (6) PERUM JABABEKA,ACTIVE,392,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (7),ACTIVE,234,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (8),ACTIVE,410,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (8) EXT,ACTIVE,37,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKARANG BARU (9),ACTIVE,388,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CIKEAS COUNTRY RESIDENCE,ACTIVE,238,OVER 200,KODYA DEPOK,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CILANGKAP AREA - BASUKI EXT,ACTIVE,90,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CILANGKAP AREA - JL. ASSAFIIYAH EXT,ACTIVE,17,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CILANGKAP AREA - JL. ASSAFIIYAH EXT,ACTIVE,188,UNDER 200,JAKARTA TIMUR,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
CILANGKAP AREA - JL. PULAU HARAPAN,ACTIVE,172,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CILANGKAP AREA - JL. PULAU HARAPAN & BASUKI EXT,ACTIVE,295,OVER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CILILITAN AREA - JL. CILILITAN KECIL,ACTIVE,203,OVER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CILINCING AREA (5) KOMPLEK PELINDO 2,ACTIVE,369,OVER 200,JAKARTA UTARA,KOTAMADYA,OPEN AREA,AERIAL,DKI,B,INDIHOME
CINERE AGUNG RESIDENCE,ACTIVE,150,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
CINERE PARK VIEW,ACTIVE,118,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
CIOMAS PERMAI (1),ACTIVE,272,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIOMAS RIVER VIEW (1),ACTIVE,117,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIOMAS RIVER VIEW (2),ACTIVE,205,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CIPADU JAYA AREA - KOMPLEK DEPLU,ACTIVE,155,UNDER 200,KODYA TANGERANG,KOTAMADYA,OPEN AREA,AERIAL,DKI,B,INDIHOME
CIPAYUNG AREA - JL. TENGKI RAYA-TENGKI PERMAI,ACTIVE,121,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA - JL. TENGKI RAYA-TENGKI PERMAI EXT,ACTIVE,83,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA - KAVLING DKI EXT,ACTIVE,43,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA - Kavling Thomas Ext,ACTIVE,32,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (1) JL. CENDRAWASIH,ACTIVE,171,UNDER 200,TANGERANG SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (1) JL. CENDRAWASIH EXT,ACTIVE,185,UNDER 200,TANGERANG SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (1) JL. CENDRAWASIH EXT,ACTIVE,16,UNDER 200,TANGERANG SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (2) JL. CENDRAWASIH,ACTIVE,124,UNDER 200,TANGERANG SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (2) KAVLING DKI 1,ACTIVE,211,OVER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (2) KAVLING DKI 1 EXT,ACTIVE,186,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPAYUNG AREA (JL. TENGKI RAYA) EXT ,ACTIVE,70,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPEDAK AREA (2) JL. JAMBU 2,ACTIVE,103,UNDER 200,JAKARTA SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPEDAK AREA (4) JL. ASELIH,ACTIVE,275,OVER 200,JAKARTA SELATAN,KOTAMADYA,MIXED,MIXED,DKI,C,INDIHOME
CIPINANG CEMPEDAK AREA EXT,ACTIVE,181,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPINANG MELAYU AREA (JL. KALIMALANG),ACTIVE,261,OVER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPINANG MUARA AREA - VILLA CIPINANG INDAH EXT,ACTIVE,78,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIPINANG MUARA AREA (3) JL. CIPINANG BALI,ACTIVE,137,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIRACAS AREA (JL. DEWA),ACTIVE,94,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
CIREUNDEU LAKE SIDE,ACTIVE,32,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,C,INDIHOME
"CITAYAM GRANDE, CITAYAM GRANDE 8 & INDO ALAM",ACTIVE,355,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITAYAM VILLAGE & THE GREEN VIEW 2,ACTIVE,300,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA GARDEN 6 - ORANGE HELECONIA & SUMMIT,ACTIVE,117,UNDER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CITRA GARDEN 6 - ORANGE HELECONIA EXT,ACTIVE,12,UNDER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CITRA INDAH CITY - BUKIT RAFFLESIA EXT,ACTIVE,216,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,MY REPUBLIC
CITRA INDAH CITY - BUKIT RAFFLESIA EXT,ACTIVE,159,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,MY REPUBLIC
CITRA INDAH CITY (1) BUKIT DAMAR EXT,ACTIVE,516,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (1) BUKIT EBONY,ACTIVE,308,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (1) BUKIT EBONY EXT,ACTIVE,42,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (16) BUKIT ANYELIR,ACTIVE,513,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
CITRA INDAH CITY (2) BUKIT CORDIA EXT,ACTIVE,354,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (2) BUKIT LANTANA,ACTIVE,274,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (2) BUKIT LANTANA EXT,ACTIVE,19,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (2) VIP TAMAN BASKET EXT,ACTIVE,1,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (24) BUKIT ALAMANDA,ACTIVE,412,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,MY REPUBLIC
CITRA INDAH CITY (3) BUKIT CERBERA EXT,ACTIVE,291,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (3) BUKIT MATOA,ACTIVE,291,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (4) BUKIT DAHLIA & TECTONA,ACTIVE,607,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (4) BUKIT DAHLIA & TECTONA EXT,ACTIVE,89,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (5) BUKIT CRYSANT & MAGNOLIA,ACTIVE,494,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (6) BUKIT CATTLEYA,ACTIVE,779,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (7) BLOK AZ,ACTIVE,164,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (7) BUKIT ROSELLA EXT,ACTIVE,369,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA INDAH CITY (8) BLOK AP,ACTIVE,223,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
CITRA KEBUN MAS Blok D9 Ext,ACTIVE,57,UNDER 200,KAB. KARAWANG,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CITRA KEBUN MAS BLOK H,ACTIVE,323,OVER 200,KAB. KARAWANG,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
CITRA RAYA - MULYA ASRI 2 (1),ACTIVE,404,OVER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
CITRA RAYA - MULYA ASRI 2 (2),ACTIVE,356,OVER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
CITRA RAYA - MULYA ASRI 2 (3),ACTIVE,335,OVER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
CITRA RAYA - TAMAN PUSPA (1),ACTIVE,304,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
CITRA RAYA - TAMAN PUSPA (3),ACTIVE,346,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
CLUSTER BUKIT INDAH 3 EXT,ACTIVE,14,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER HELICONIA,ACTIVE,32,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER JESISCA TAHAP 1 & 2 EXT,ACTIVE,72,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
"CLUSTER JESISCA TAHAP 1, 2 & 3 EXT",ACTIVE,108,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
"CLUSTER KENANGA PELANGI,DSK",ACTIVE,101,UNDER 200,KODYA TANGERANG,KOTAMADYA,MIXED,MIXED,DKI,C,INDIHOME
CLUSTER PENIDA 2 SIMPRUG,ACTIVE,71,UNDER 200,KODYA TANGERANG,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER PURI WIJAYA,ACTIVE,15,UNDER 200,JAKARTA SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER ROYAL RESIDENCE (1),ACTIVE,203,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CLUSTER ROYAL RESIDENCE (2),ACTIVE,271,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CLUSTER SERUA INDAH EXT,ACTIVE,93,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER SUDIMARA BINTARO & SUDIMARA JOMBANG,ACTIVE,126,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CLUSTER THE PASADENA,ACTIVE,304,OVER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
CLUSTER WIRANA & JL. H. RAMID,ACTIVE,82,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CRV RESIDENCE & ELLYANA RESIDENCE,ACTIVE,92,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CRV RESIDENCE EXT,ACTIVE,17,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
CRYSTAL PAMULANG,ACTIVE,13,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,JABAR,B,INDIHOME
CURUG GARDEN,ACTIVE,272,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
DAAN MOGOT BARU - GILIMANUK EXT,ACTIVE,2,UNDER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,C,INDIHOME
DAAN MOGOT BARU - TAMPAK SIRING EXT,ACTIVE,3,UNDER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,C,INDIHOME
DANAU INDAH BARAT 1A BLOK E1 EXT,ACTIVE,2,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
DE GREEN TERRACE,ACTIVE,143,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE PARIS RESIDENCE (1),ACTIVE,184,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE PARIS RESIDENCE (3),ACTIVE,157,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE PARIS RESIDENCE (4),ACTIVE,215,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE PARIS RESIDENCE (5),ACTIVE,191,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DE PARIS RESIDENCE (6),ACTIVE,118,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
DIAMOND GOLDEN CINERE,ACTIVE,211,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
DUKUH BIMA (2) BIMA GROOVE RESIDENCE,ACTIVE,51,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
DUREN SAWIT AREA (1) JL. RADEN INTEN 2,ACTIVE,100,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
DUREN SAWIT AREA (1) JL. RADEN INTEN 2 EXT,ACTIVE,148,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
DUREN SAWIT AREA (2) JL. RADEN INTEN 2,ACTIVE,195,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
DUREN SAWIT AREA (2) JL. SWADAYA,ACTIVE,184,UNDER 200,JAKARTA TIMUR,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
DUREN TIGA AREA - JL. H. MAHMUD BUNTU,ACTIVE,76,UNDER 200,JAKARTA SELATAN,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
DUTA ASRI PALEM 9,ACTIVE,191,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
DUTA BINTARO - CLUSTER ULUWATU EXT,ACTIVE,14,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
DUTA BINTARO - NUSA DUA,ACTIVE,41,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
